year,make,model,title,price,currency,priceGBP,sold,date,estimateLow,estimateHigh
2000,BMW,330 Ci SE,2000 BMW 330 Ci SE,7500,GBP,7500,false,2025-06-25,7000,8000
2003,BMW,318 Ci,2003 BMW 318 Ci,1870,GBP,1870,true,2025-06-25,,
1999,BMW,Z3 2.8,1999 BMW Z3 2.8,3400,GBP,3400,true,2025-06-26,,
1957,BMW,Isetta 300,1957 BMW Isetta 300,21000,GBP,21000,false,,20000,22000
2000,BMW,Z3M Roadster,2000 BMW Z3M Roadster,15792,GBP,15792,true,,,
2000,BMW,Alpina B10 V8,2000 BMW Alpina B10 V8,24000,GBP,24000,false,2025-06-25,22000,26000
1996,BMW,M3 Evolution Convertible,1996 BMW M3 Evolution Convertible,16000,GBP,16000,false,2025-06-25,14000,18000
1988,BMW,M635 CSi,1988 BMW M635 CSi,41062,GBP,41062,true,2025-06-25,,
2009,BMW,1M 4.0 V8 Evocation,2009 BMW 1M 4.0 V8 Evocation,32500,GBP,32500,false,2025-06-25,30000,35000
1970,BMW,2800 CS,1970 BMW 2800 CS,5280,EUR,4541,true,2025-06-23,,
1996,BMW,Z3 1.8,1996 BMW Z3 1.8,11040,EUR,9494,true,2025-06-23,,
2001,BMW,325 Ci Cabriolet,2001 BMW 325 Ci Cabriolet,10920,EUR,9391,true,2025-06-23,,
1974,BMW,3.0 CSi,1974 BMW 3.0 CSi,40000,GBP,40000,true,2025-06-21,,
2000,BMW,Alpina B10 V8,2000 BMW Alpina B10 V8,12250,GBP,12250,true,2025-06-21,,
2005,BMW,330 Ci,2005 BMW 330 Ci,3300,GBP,3300,true,,,
1974,BMW,1602,1974 BMW 1602,910,GBP,910,true,2025-06-14,,
1989,BMW,318i,1989 BMW 318i,3240,GBP,3240,true,2025-06-14,,
2000,BMW,Z3 2.0 M-Spec,2000 BMW Z3 2.0 M-Spec,1860,GBP,1860,true,2025-06-14,,
1999,BMW,Z3,1999 BMW Z3,1660,GBP,1660,true,2025-06-14,,
1996,BMW,328i Sport Coupe,1996 BMW 328i Sport Coupe,6588,GBP,6588,true,2025-06-14,,
1996,BMW,840 Ci,1996 BMW 840 Ci,11016,GBP,11016,true,2025-06-14,,
2003,BMW,330 Ci Sport Convertible,2003 BMW 330 Ci Sport Convertible,3996,GBP,3996,true,2025-06-14,,
2005,BMW,760Li,2005 BMW 760Li,7020,GBP,7020,true,2025-06-14,,
2000,BMW,Z3,2000 BMW Z3,5500,GBP,5500,false,2025-06-14,5000,6000
1989,BMW,318i,1989 BMW 318i,7000,GBP,7000,true,2025-06-07,,
2005,BMW,M5,2005 BMW M5,11445,GBP,11445,true,2025-06-07,,
1999,BMW,Z3,1999 BMW Z3,1962,GBP,1962,true,2025-06-07,,
1998,BMW,523i,1998 BMW 523i,510,GBP,510,true,2025-06-07,,
2005,BMW,730d,2005 BMW 730d,3000,GBP,3000,false,2025-06-07,2500,3500
2004,BMW,318 Ci,2004 BMW 318 Ci,1526,GBP,1526,true,2025-06-07,,
1991,BMW,318i,1991 BMW 318i,230,GBP,230,true,2025-06-07,,
1991,BMW,318i,1991 BMW 318i,5711,GBP,5711,true,,,
1997,BMW,Z3 2.8,1997 BMW Z3 2.8,7600,GBP,7600,true,,,
1991,BMW,325i,1991 BMW 325i,9000,GBP,9000,false,2025-06-01,8000,10000
2013,BMW,M5,2013 BMW M5,11025,GBP,11025,true,2025-06-01,,
1986,BMW,525e,1986 BMW 525e,7987,GBP,7987,true,2025-06-01,,
2018,BMW,Alpina B5 Touring,2018 BMW Alpina B5 Touring,51750,GBP,51750,true,2025-06-01,,
1939,BMW,328 Wendler Cabriolet,1939 BMW 328 Wendler Cabriolet,230000,EUR,197800,true,2025-05-24,,
1958,BMW,507,1958 BMW 507,2150000,EUR,1849000,false,2025-05-24,2000000,2300000
1982,BMW,635 CSi “The Observer Coupe”,1982 BMW 635 CSi “The Observer Coupe”,16100,EUR,13846,true,2025-05-24,,
1980,BMW,M1,1980 BMW M1,602500,EUR,518150,true,2025-05-24,,
1981,BMW,M1,1981 BMW M1,525000,EUR,451500,false,2025-05-24,475000,575000
1987,BMW,M3 Group A,1987 BMW M3 Group A,109250,EUR,93955,true,2025-05-24,,
1989,BMW,M3 Cecotto,1989 BMW M3 Cecotto,92000,EUR,79120,true,2025-05-24,,
1989,BMW,M3,1989 BMW M3,69000,EUR,59340,true,2025-05-24,,
2000,BMW,Z8,2000 BMW Z8,235750,EUR,202745,true,2025-05-24,,
1991,BMW,Alpina Z1 RLE,1991 BMW Alpina Z1 RLE,115000,EUR,98900,true,2025-05-24,,
1999,BMW,Z3M Coupe,1999 BMW Z3M Coupe,86250,EUR,74175,true,2025-05-24,,
2003,BMW,M3 CSL,2003 BMW M3 CSL,126500,EUR,108790,true,2025-05-24,,
2011,BMW,M3 GTS,2011 BMW M3 GTS,224250,EUR,192855,true,2025-05-24,,
2020,BMW,M2 CS,2020 BMW M2 CS,66125,EUR,56868,true,2025-05-24,,
1990,BMW,318i SE Lux,1990 BMW 318i SE Lux,7188,GBP,7188,true,2025-05-24,,
2003,BMW,Alpina B3 S Convertible,2003 BMW Alpina B3 S Convertible,10000,GBP,10000,false,2025-05-24,9000,11000
1975,BMW,1602,1975 BMW 1602,7740,GBP,7740,true,2025-05-21,,
2000,BMW,318i,2000 BMW 318i,2903,GBP,2903,true,2025-05-21,,
1991,BMW,320i SE,1991 BMW 320i SE,5913,GBP,5913,true,2025-05-21,,
1986,BMW,325i,1986 BMW 325i,4500,GBP,4500,false,2025-05-21,4000,5000
1997,BMW,735i,1997 BMW 735i,5106,GBP,5106,true,2025-05-21,,
2008,BMW,M3,2008 BMW M3,18060,GBP,18060,true,2025-05-21,,
2002,BMW,Z3,2002 BMW Z3,5053,GBP,5053,true,2025-05-21,,
2002,BMW,Z3 Sport,2002 BMW Z3 Sport,8819,GBP,8819,true,2025-05-21,,
1998,BMW,Z3,1998 BMW Z3,3150,GBP,3150,false,2025-05-21,2650,3650
1999,BMW,Z3,1999 BMW Z3,2688,GBP,2688,true,2025-05-21,,
1997,BMW,328i,1997 BMW 328i,3010,GBP,3010,true,2025-05-21,,
2003,BMW,320 Ci,2003 BMW 320 Ci,2258,GBP,2258,true,2025-05-21,,
2005,BMW,330 Ci,2005 BMW 330 Ci,13330,GBP,13330,true,2025-05-21,,
1980,BMW,M1,1980 BMW M1,475000,EUR,408500,false,2025-05-22,425000,525000
2004,BMW,745i Individual,2004 BMW 745i Individual,7000,GBP,7000,false,2025-05-21,6000,8000
2002,BMW,Z3 3.0i,2002 BMW Z3 3.0i,11000,GBP,11000,false,2025-05-21,10000,12000
1973,BMW,2002 Cabriolet Baur,1973 BMW 2002 Cabriolet Baur,20000,GBP,20000,false,2025-05-21,18000,22000
1989,BMW,320i Baur Cabriolet,1989 BMW 320i Baur Cabriolet,14062,GBP,14062,true,2025-05-21,,
2004,BMW,Alpina Roadster S,2004 BMW Alpina Roadster S,14625,GBP,14625,true,2025-05-21,,
1974,BMW,2002 turbo,1974 BMW 2002 turbo,181500,USD,143385,true,2025-05-09,,
1989,BMW,325i Sport,1989 BMW 325i Sport,2200,GBP,2200,true,2025-05-17,,
1991,BMW,Alpina B10 3.5,1991 BMW Alpina B10 3.5,27562,GBP,27562,true,2025-05-17,,
1989,BMW,M3 Cabriolet,1989 BMW M3 Cabriolet,93500,GBP,93500,false,2025-05-17,87000,100000
1988,BMW,M3,1988 BMW M3,84375,GBP,84375,true,2025-05-17,,
1991,BMW,M5,1991 BMW M5,43875,GBP,43875,true,2025-05-17,,
1986,BMW,M635 CSi,1986 BMW M635 CSi,40500,GBP,40500,true,2025-05-17,,
1994,BMW,850 CSi,1994 BMW 850 CSi,73000,GBP,73000,false,2025-05-17,68000,78000
,BMW,c. 1960 BMW Isetta 300,c. 1960 BMW Isetta 300,9200,GBP,9200,true,2025-05-15,,
1990,BMW,318is,1990 BMW 318is,9746,GBP,9746,true,,,
1987,BMW,635 CSi,1987 BMW 635 CSi,8400,GBP,8400,true,,,
2002,BMW,520i,2002 BMW 520i,1650,GBP,1650,true,,,
1998,BMW,528i SE Touring,1998 BMW 528i SE Touring,750,GBP,750,true,,,
1999,BMW,Z3,1999 BMW Z3,4568,GBP,4568,true,,,
1999,BMW,Z3,1999 BMW Z3,1125,GBP,1125,true,,,
1997,BMW,328i Sport,1997 BMW 328i Sport,8910,GBP,8910,true,,,
1995,BMW,840 Ci,1995 BMW 840 Ci,6600,GBP,6600,true,,,
2004,BMW,Z4 3.0 SE,2004 BMW Z4 3.0 SE,4153,GBP,4153,true,,,
2001,BMW,325 Ci SE,2001 BMW 325 Ci SE,1760,GBP,1760,true,,,
1975,BMW,2002 turbo,1975 BMW 2002 turbo,18500000,JPY,98050,false,2025-05-09,17500000,19500000
1987,BMW,320i,1987 BMW 320i,13400,GBP,13400,true,,,
1996,BMW,318i,1996 BMW 318i,4500,GBP,4500,true,2025-05-04,,
1988,BMW,325i Convertible,1988 BMW 325i Convertible,10500,GBP,10500,false,2025-05-03,9000,12000
1987,BMW,518i,1987 BMW 518i,9724,GBP,9724,true,2025-05-03,,
2000,BMW,528i Individual,2000 BMW 528i Individual,10000,GBP,10000,false,2025-05-03,8000,12000
1989,BMW,635 CSi Highline,1989 BMW 635 CSi Highline,17000,GBP,17000,true,2025-05-03,,
1990,BMW,Z1,1990 BMW Z1,23000,GBP,23000,true,2025-05-03,,
2008,BMW,Alpina B3 Bi Turbo,2008 BMW Alpina B3 Bi Turbo,12000,GBP,12000,true,2025-05-03,,
1994,BMW,850 Ci,1994 BMW 850 Ci,45000,GBP,45000,false,2025-05-03,40000,50000
1998,BMW,M3 Evolution Convertible,1998 BMW M3 Evolution Convertible,16080,GBP,16080,true,,,
1993,BMW,850 CSi,1993 BMW 850 CSi,69300,EUR,59598,true,,,
1986,BMW,320i Baur TC2,1986 BMW 320i Baur TC2,15780,EUR,13571,true,2025-04-27,,
2005,BMW,M5,2005 BMW M5,10500,GBP,10500,false,2025-04-26,10000,11000
2001,BMW,Z3,2001 BMW Z3,1635,GBP,1635,true,2025-04-26,,
1999,BMW,Z3,1999 BMW Z3,1308,GBP,1308,true,2025-04-26,,
1970,BMW,2002,1970 BMW 2002,15400,USD,12166,true,2025-04-24,,
1992,BMW,318i Cabriolet,1992 BMW 318i Cabriolet,1635,GBP,1635,true,2025-04-26,,
1973,BMW,2002 tii,1973 BMW 2002 tii,13298,GBP,13298,true,2025-04-26,,
1989,BMW,330i,1989 BMW 330i,12000,GBP,12000,false,2025-04-26,10000,14000
1973,BMW,2002 tii,1973 BMW 2002 tii,62700,USD,49533,true,2025-04-25,,
1988,BMW,318i,1988 BMW 318i,9400,GBP,9400,true,2025-04-26,,
2000,BMW,330d SE,2000 BMW 330d SE,3400,GBP,3400,true,2025-04-26,,
1974,BMW,2002,1974 BMW 2002,23000,GBP,23000,true,2025-04-16,,
2004,BMW,316i SE,2004 BMW 316i SE,1935,GBP,1935,true,2025-04-16,,
1999,BMW,528i,1999 BMW 528i,16500,GBP,16500,false,2025-04-16,15000,18000
1989,BMW,730i SE,1989 BMW 730i SE,4730,GBP,4730,true,2025-04-16,,
1995,BMW,M3,1995 BMW M3,14943,GBP,14943,true,2025-04-16,,
1998,BMW,Z3,1998 BMW Z3,2001,GBP,2001,true,2025-04-16,,
2001,BMW,Z3,2001 BMW Z3,1828,GBP,1828,true,2025-04-16,,
1999,BMW,Z3,1999 BMW Z3,3548,GBP,3548,true,2025-04-16,,
2001,BMW,330 Ci Sport,2001 BMW 330 Ci Sport,1430,GBP,1430,true,2025-04-16,,
2001,BMW,330 Ci,2001 BMW 330 Ci,2500,GBP,2500,false,2025-04-16,2000,3000
1999,BMW,328 Ci,1999 BMW 328 Ci,3000,GBP,3000,false,2025-04-16,2500,3500
1996,BMW,840 Ci,1996 BMW 840 Ci,9843,GBP,9843,true,2025-04-12,,
1992,BMW,316i Touring,1992 BMW 316i Touring,7031,GBP,7031,true,2025-04-09,,
1984,BMW,323i,1984 BMW 323i,8438,GBP,8438,true,2025-04-09,,
1981,BMW,635 CSi,1981 BMW 635 CSi,16500,GBP,16500,false,2025-04-09,15000,18000
1997,BMW,Alpina B10 V8,1997 BMW Alpina B10 V8,16000,GBP,16000,false,2025-04-09,15000,17000
1988,BMW,M635 CSi,1988 BMW M635 CSi,40000,GBP,40000,false,2025-04-09,35000,45000
1999,BMW,M3 Evolution Convertible,1999 BMW M3 Evolution Convertible,18675,GBP,18675,true,2025-04-09,,
1996,BMW,Alpina B3 3.2 Supercharged,1996 BMW Alpina B3 3.2 Supercharged,15188,GBP,15188,true,2025-04-09,,
1982,BMW,320 Baur Convertible,1982 BMW 320 Baur Convertible,5616,GBP,5616,true,2025-04-05,,
1990,BMW,320i Convertible,1990 BMW 320i Convertible,8856,GBP,8856,true,2025-04-05,,
1990,BMW,325i Cabriolet,1990 BMW 325i Cabriolet,7344,GBP,7344,true,2025-04-05,,
1998,BMW,735i,1998 BMW 735i,2592,GBP,2592,true,2025-04-05,,
2002,BMW,745i,2002 BMW 745i,2484,GBP,2484,true,2025-04-05,,
2006,BMW,Alpina Roadster S,2006 BMW Alpina Roadster S,8532,GBP,8532,true,2025-04-05,,
2004,BMW,M3 Convertible,2004 BMW M3 Convertible,11880,GBP,11880,true,2025-04-05,,
2000,BMW,Z3,2000 BMW Z3,2970,GBP,2970,true,2025-04-05,,
2005,BMW,630i Convertible,2005 BMW 630i Convertible,2592,GBP,2592,true,2025-04-05,,
2004,BMW,645 Ci,2004 BMW 645 Ci,3780,GBP,3780,true,2025-04-05,,
1972,BMW,2002,1972 BMW 2002,47150,NZD,22632,true,2025-04-06,,
2004,BMW,Alpina Roadster S,2004 BMW Alpina Roadster S,24520,NZD,11770,true,2025-04-06,,
1989,BMW,M325i,1989 BMW M325i,32390,NZD,15547,true,2025-04-06,,
1976,BMW,1602,1976 BMW 1602,8050,GBP,8050,true,2025-04-05,,
2002,BMW,316i,2002 BMW 316i,5175,GBP,5175,true,2025-04-05,,
1990,BMW,318i SE,1990 BMW 318i SE,8500,GBP,8500,false,2025-04-05,8000,9000
1989,BMW,320i Convertible,1989 BMW 320i Convertible,14950,GBP,14950,true,2025-04-05,,
1991,BMW,535i Sport,1991 BMW 535i Sport,6325,GBP,6325,true,2025-04-05,,
2003,BMW,Alpina B3 S Convertible,2003 BMW Alpina B3 S Convertible,10350,GBP,10350,true,2025-04-05,,
2003,BMW,325 ti,2003 BMW 325 ti,4600,GBP,4600,true,2025-04-05,,
2004,BMW,318 Ci,2004 BMW 318 Ci,8452,GBP,8452,true,2025-04-05,,
1996,BMW,728i,1996 BMW 728i,3360,GBP,3360,true,,,
2000,BMW,Z3 Coupe,2000 BMW Z3 Coupe,13440,GBP,13440,true,,,
2003,BMW,735i,2003 BMW 735i,3500,AUD,1820,true,,,
1960,BMW,Isetta 300,1960 BMW Isetta 300,45500,AUD,23660,true,,,
1986,BMW,M635 CSi,1986 BMW M635 CSi,120000,AUD,62400,false,,115000,125000
1990,BMW,320i SE,1990 BMW 320i SE,10000,GBP,10000,false,2025-03-29,9000,11000
1995,BMW,318is,1995 BMW 318is,1700,GBP,1700,true,2025-03-27,,
2003,BMW,Z4,2003 BMW Z4,3000,GBP,3000,false,2025-03-27,2500,3500
1998,BMW,535i SE,1998 BMW 535i SE,3136,GBP,3136,true,2025-03-25,,
2002,BMW,750i L,2002 BMW 750i L,1344,GBP,1344,true,2025-03-25,,
1992,BMW,850i,1992 BMW 850i,24000,EUR,20640,true,2025-03-24,,
1957,BMW,502 3.2,1957 BMW 502 3.2,12375,GBP,12375,true,2025-03-22,,
1972,BMW,2000,1972 BMW 2000,13833,GBP,13833,true,2025-03-22,,
1990,BMW,316i Track Day Car,1990 BMW 316i Track Day Car,10687,GBP,10687,true,2025-03-22,,
1987,BMW,635 CSi,1987 BMW 635 CSi,23625,GBP,23625,true,2025-03-22,,
1996,BMW,M3 Evolution Convertible,1996 BMW M3 Evolution Convertible,14062,GBP,14062,true,2025-03-22,,
1998,BMW,M3 Evolution,1998 BMW M3 Evolution,22500,GBP,22500,false,2025-03-22,20000,25000
1985,BMW,M635 CSi,1985 BMW M635 CSi,57375,GBP,57375,true,2025-03-22,,
1995,BMW,540i V8,1995 BMW 540i V8,3375,GBP,3375,true,2025-03-22,,
2003,BMW,Z4 2.5i,2003 BMW Z4 2.5i,7593,GBP,7593,true,2025-03-22,,
1958,BMW,502,1958 BMW 502,28000,CHF,24920,true,2025-03-22,,
1990,BMW,750i,1990 BMW 750i,7560,CHF,6728,true,2025-03-22,,
1991,BMW,850i,1991 BMW 850i,35000,EUR,30100,false,2025-03-16,30000,40000
1998,BMW,316i,1998 BMW 316i,330,GBP,330,true,2025-03-12,,
1992,BMW,316i,1992 BMW 316i,2688,GBP,2688,true,2025-03-12,,
1988,BMW,318i,1988 BMW 318i,3978,GBP,3978,true,2025-03-12,,
1985,BMW,320i,1985 BMW 320i,5160,GBP,5160,true,2025-03-12,,
1997,BMW,323i,1997 BMW 323i,1828,GBP,1828,true,2025-03-12,,
1986,BMW,635 CSi,1986 BMW 635 CSi,11180,GBP,11180,true,2025-03-12,,
1960,BMW,Isetta,1960 BMW Isetta,10965,GBP,10965,true,2025-03-12,,
2002,BMW,525i Sport,2002 BMW 525i Sport,1100,GBP,1100,true,2025-03-12,,
1998,BMW,Z3,1998 BMW Z3,3601,GBP,3601,true,2025-03-12,,
2004,BMW,645 Ci,2004 BMW 645 Ci,4730,GBP,4730,true,2025-03-12,,
2003,BMW,330 Ci SE,2003 BMW 330 Ci SE,2200,GBP,2200,true,2025-03-12,,
2001,BMW,318 Ci,2001 BMW 318 Ci,3333,GBP,3333,true,2025-03-12,,
1998,BMW,840 Ci Sport,1998 BMW 840 Ci Sport,18813,GBP,18813,true,2025-03-12,,
1973,BMW,2002 Cabriolet,1973 BMW 2002 Cabriolet,6450,GBP,6450,true,2025-03-12,,
1996,BMW,M3 Evolution,1996 BMW M3 Evolution,10100,GBP,10100,true,,,
1997,BMW,316i,1997 BMW 316i,2250,GBP,2250,true,2025-03-09,,
1988,BMW,316i,1988 BMW 316i,1800,GBP,1800,true,2025-03-09,,
1982,BMW,323i,1982 BMW 323i,2025,GBP,2025,true,2025-03-09,,
2002,BMW,530i,2002 BMW 530i,5000,GBP,5000,false,2025-03-09,4000,6000
2004,BMW,M3,2004 BMW M3,12375,GBP,12375,true,2025-03-09,,
2013,BMW,M6 Gran Coupe,2013 BMW M6 Gran Coupe,15750,GBP,15750,true,2025-03-09,,
2003,BMW,318i,2003 BMW 318i,1090,GBP,1090,true,2025-03-08,,
2002,BMW,Z3,2002 BMW Z3,2725,GBP,2725,true,2025-03-08,,
1989,BMW,635 CSi Highline,1989 BMW 635 CSi Highline,10687,GBP,10687,true,2025-03-08,,
1998,BMW,Z3,1998 BMW Z3,1308,GBP,1308,true,2025-03-08,,
1987,BMW,525e Lux,1987 BMW 525e Lux,7794,GBP,7794,true,2025-03-08,,
1939,BMW,328,1939 BMW 328,650000,USD,513500,false,2025-03-07,550000,750000
1958,BMW,507,1958 BMW 507,2122500,USD,1676775,true,2025-03-07,,
2001,BMW,Z8,2001 BMW Z8,246400,USD,194656,true,2025-03-07,,
2002,BMW,Z8,2002 BMW Z8,173600,USD,137144,true,2025-03-07,,
1995,BMW,850 CSi,1995 BMW 850 CSi,100800,USD,79632,true,2025-03-07,,
2001,BMW,Z3M Coupe,2001 BMW Z3M Coupe,70000,USD,55300,true,2025-03-07,,
2003,BMW,M5,2003 BMW M5,134400,USD,106176,true,2025-03-06,,
2002,BMW,Z8,2002 BMW Z8,237500,USD,187625,false,2025-03-06,225000,250000
2001,BMW,Z8,2001 BMW Z8,242500,USD,191575,true,2025-03-06,,
2013,BMW,M3 Lime Rock Park Edition,2013 BMW M3 Lime Rock Park Edition,86800,USD,68572,true,2025-03-06,,
1962,BMW,502,1962 BMW 502,41500,EUR,35690,false,2025-03-01,41500,41500
2001,BMW,M5,2001 BMW M5,27500,EUR,23650,true,2025-03-01,,
1989,BMW,M635 CSi,1989 BMW M635 CSi,27900,EUR,23994,true,2025-03-01,,
2002,BMW,Z3 1.9,2002 BMW Z3 1.9,12000,EUR,10320,false,2025-03-01,12000,12000
2001,BMW,Z3 3.0,2001 BMW Z3 3.0,14600,EUR,12556,true,2025-03-01,,
1989,BMW,750i L,1989 BMW 750i L,20200,EUR,17372,true,2025-03-01,,
1973,BMW,3.0 CSL,1973 BMW 3.0 CSL,111500,GBP,111500,false,2025-03-01,98000,125000
1993,BMW,318i Lux Convertible,1993 BMW 318i Lux Convertible,20020,GBP,20020,true,2025-03-01,,
1989,BMW,320i Convertible,1989 BMW 320i Convertible,16016,GBP,16016,true,2025-03-01,,
1989,BMW,635 CSi Motorsport Edition,1989 BMW 635 CSi Motorsport Edition,40500,GBP,40500,false,2025-03-01,37000,44000
2003,BMW,M3 Convertible,2003 BMW M3 Convertible,12584,GBP,12584,true,2025-03-01,,
2004,BMW,M3,2004 BMW M3,22308,GBP,22308,true,2025-03-01,,
2005,BMW,M3 Convertible,2005 BMW M3 Convertible,16000,GBP,16000,false,2025-03-01,14000,18000
1974,BMW,2002 tii,1974 BMW 2002 tii,14500,GBP,14500,false,2025-03-01,13000,16000
1987,BMW,525e Lux,1987 BMW 525e Lux,15000,GBP,15000,false,2025-03-01,13000,17000
2008,BMW,630i Cabriolet,2008 BMW 630i Cabriolet,4088,GBP,4088,true,2025-03-01,,
1987,BMW,M3 Enhanced & Evolved by Redux,1987 BMW M3 Enhanced & Evolved by Redux,307500,USD,242925,true,2025-02-27,,
1974,BMW,2002 turbo,1974 BMW 2002 turbo,140000,USD,110600,true,2025-02-27,,
1987,BMW,M3,1987 BMW M3,37125,GBP,37125,true,2025-02-22,,
1965,BMW,1800 Ti FIA,1965 BMW 1800 Ti FIA,35000,GBP,35000,false,2025-02-22,30000,40000
1984,BMW,E28 M5 - S38,1984 BMW E28 M5 - S38,22500,GBP,22500,true,2025-02-22,,
1996,BMW,728i,1996 BMW 728i,3080,GBP,3080,true,,,
2000,BMW,Z3,2000 BMW Z3,1600,GBP,1600,false,,1400,1800
2001,BMW,740i Sport,2001 BMW 740i Sport,5936,GBP,5936,true,,,
2005,BMW,645 Ci,2005 BMW 645 Ci,2464,GBP,2464,true,,,
2002,BMW,316i SE,2002 BMW 316i SE,6958,GBP,6958,true,2025-02-15,,
1997,BMW,323i Touring,1997 BMW 323i Touring,4400,GBP,4400,true,2025-02-15,,
2006,BMW,M3,2006 BMW M3,12125,GBP,12125,false,2025-02-15,11500,12750
2001,BMW,Z3,2001 BMW Z3,1800,GBP,1800,true,2025-02-15,,
2002,BMW,525d,2002 BMW 525d,800,GBP,800,true,2025-02-15,,
1957,BMW,Isetta 300,1957 BMW Isetta 300,30800,USD,24332,true,2025-02-15,,
1983,BMW,316,1983 BMW 316,12000,GBP,12000,true,2025-02-12,,
1988,BMW,520i Lux,1988 BMW 520i Lux,12000,GBP,12000,true,2025-02-12,,
1998,BMW,Z3M Roadster,1998 BMW Z3M Roadster,14400,GBP,14400,true,2025-02-12,,
1940,BMW,327 Convertible,1940 BMW 327 Convertible,110000,EUR,94600,false,2025-02-07,90000,130000
1975,BMW,3.0 CSi,1975 BMW 3.0 CSi,67944,EUR,58432,true,2025-02-07,,
1984,BMW,635 CSi Groupe A,1984 BMW 635 CSi Groupe A,145000,EUR,124700,false,2025-02-07,125000,165000
2001,BMW,Z8,2001 BMW Z8,354960,EUR,305266,true,2025-02-07,,
1995,BMW,850 CSi,1995 BMW 850 CSi,70000,EUR,60200,false,2025-02-07,60000,80000
1979,BMW,530 Production - Team JMS Racing,1979 BMW 530 Production - Team JMS Racing,110000,EUR,94600,false,2025-02-07,90000,130000
1989,BMW,635 CSi Highline,1989 BMW 635 CSi Highline,13000,GBP,13000,false,2025-02-08,12000,14000
1999,BMW,Z3,1999 BMW Z3,3000,GBP,3000,true,2025-02-08,,
2003,BMW,320i SE Cabriolet,2003 BMW 320i SE Cabriolet,3000,GBP,3000,true,2025-02-08,,
1972,BMW,3.0 CSA,1972 BMW 3.0 CSA,27500,GBP,27500,false,2025-02-05,25000,30000
2002,BMW,525i Sport,2002 BMW 525i Sport,2500,GBP,2500,false,2025-02-05,2000,3000
1987,BMW,735i SE,1987 BMW 735i SE,3010,GBP,3010,true,2025-02-05,,
1999,BMW,Z3,1999 BMW Z3,8170,GBP,8170,true,2025-02-05,,
1972,BMW,2000 touring,1972 BMW 2000 touring,16910,GBP,16910,true,2025-02-05,,
2010,BMW,630i SE,2010 BMW 630i SE,4568,GBP,4568,true,2025-02-05,,
1938,BMW,320 Cabriolet,1938 BMW 320 Cabriolet,48300,EUR,41538,true,2025-02-06,,
1938,BMW,327 Sport Cabriolet,1938 BMW 327 Sport Cabriolet,201250,EUR,173075,true,2025-02-06,,
2004,BMW,Alpina Roadster V8,2004 BMW Alpina Roadster V8,299000,EUR,257140,true,2025-02-06,,
1978,BMW,320 Turbo Group 5 E21,1978 BMW 320 Turbo Group 5 E21,850000,EUR,731000,false,2025-02-06,750000,950000
1958,BMW,507 Series II,1958 BMW 507 Series II,1750000,EUR,1505000,true,2025-02-04,,
1971,BMW,3.0 CSL Batmobile,1971 BMW 3.0 CSL Batmobile,575000,EUR,494500,false,2025-02-04,500000,650000
1971,BMW,2000 tii touring,1971 BMW 2000 tii touring,40250,EUR,34615,true,2025-02-04,,
1996,BMW,530i V8 Touring,1996 BMW 530i V8 Touring,8450,GBP,8450,true,2025-01-30,,
2000,BMW,Z3 2.0,2000 BMW Z3 2.0,950,GBP,950,true,2025-01-30,,
1982,BMW,320,1982 BMW 320,3500,GBP,3500,false,2025-01-25,3000,4000
1992,BMW,316i Touring,1992 BMW 316i Touring,6156,GBP,6156,true,2025-01-25,,
1999,BMW,318i Convertible,1999 BMW 318i Convertible,4104,GBP,4104,true,2025-01-25,,
1996,BMW,323i Coupe,1996 BMW 323i Coupe,4320,GBP,4320,true,2025-01-25,,
2000,BMW,525i SE,2000 BMW 525i SE,2160,GBP,2160,true,2025-01-25,,
2004,BMW,M3,2004 BMW M3,9828,GBP,9828,true,2025-01-25,,
2000,BMW,Z3 2.0,2000 BMW Z3 2.0,1860,GBP,1860,true,2025-01-25,,
2001,BMW,540i,2001 BMW 540i,3996,GBP,3996,true,2025-01-25,,
1976,BMW,2002,1976 BMW 2002,29700,USD,23463,true,2025-01-20,,
1978,BMW,320i,1978 BMW 320i,5500,USD,4345,true,2025-01-20,,
1988,BMW,M3,1988 BMW M3,72600,USD,57354,true,2025-01-20,,
1989,BMW,M3 Evolution II,1989 BMW M3 Evolution II,110000,USD,86900,true,2025-01-20,,
1987,BMW,M3,1987 BMW M3,71500,USD,56485,true,2025-01-20,,
2004,BMW,X3 3.0i,2004 BMW X3 3.0i,1853,GBP,1853,true,2025-01-25,,
1957,BMW,503,1957 BMW 503,210000,USD,165900,false,2025-01-25,190000,230000
1995,BMW,M3,1995 BMW M3,89600,USD,70784,true,2025-01-24,,
1970,BMW,2800 CS,1970 BMW 2800 CS,154000,USD,121660,true,2025-01-07,,
2003,BMW,Alpina Roadster V8,2003 BMW Alpina Roadster V8,209000,USD,165110,true,2025-01-07,,
1979,BMW,M1,1979 BMW M1,105000000,JPY,556500,false,2025-01-11,95000000,115000000
1990,BMW,M3 Sport Evolution,1990 BMW M3 Sport Evolution,11655000,JPY,61772,true,2025-01-11,,
2003,BMW,Alpina Roadster V8,2003 BMW Alpina Roadster V8,255000,CHF,226950,false,2024-12-29,245000,265000
2003,BMW,320i SE Cabriolet,2003 BMW 320i SE Cabriolet,3500,GBP,3500,false,2024-12-14,3000,4000
2003,BMW,Z3,2003 BMW Z3,1600,GBP,1600,false,2024-12-14,1200,2000
